Тип тканини,Постачальник,Назва тканини,"Щільність, гр/м2",Склад тканини,К-сть м.п в 1кг,Вартість за 1кг/$ ,Вартість за 1кг/$  з дост. карго,Вартість за 1м.п/грн без ПДВ,з ПДВ Вартість за 1кг/$ ,з ПДВ Вартість за 1м.п/грн ,з ПДВ Вартість за 1м.п/грн  НАРІЗКА ,Основний/запасний,Ширина рул/см,Гурт,Вага рул /кг,К-сть м.п /рул. 
доллар ,45,,,,,,,,,,,,,,,
карго ,"1,7",,,,,,,,,,,,,,,
Трикотаж,Зейджан ,Бавовна Кулір 30/1,150,100% бавовна,"3,5","10,60",,"136,3","11,4","146,6",х,основний,200 (100 рукав),х,23,"80,5"
Трикотаж,Зейджан ,Бавовна Кулір 24/1,190,100% бавовна,"2,8","10,60",,"170,4","11,4","183,2",х,основний,180 (90 рукав),х,23,"64,4"
Трикотаж,Зейджан ,Бавовна Кулір 30/2 (рулон),250,100% бавовна,"2,2","11,10",,"227,0","11,9","243,4",х,основний,180,х,23,"50,6"
Трикотаж,Зейджан ,Бавовна з еластаном 30/1,190,95% бавовна/5% еластан,"2,8","11,50",,"184,8","12,4","199,3",х,основний,185,х,23,"64,4"
Трикотаж,Зейджан ,Бавовна з еластаном 30/2,170,95% бавовна/5% еластан,"3,3","12,40",,"169,1","13,5","184,1",х,основний,170,х,23,"75,9"
Трикотаж,Зейджан ,"Футер, 3-нитка з начісом ",310,70% бавовна/30%пе,"1,5","10,50",,"315,0","11,1","333,0",х,основний,190,х,23,"34,5"
Трикотаж,Зейджан ,"Футер, 3-нитка без начісу ",310,70% бавовна/30%пе,"1,3","10,50",,"363,5","11,1","384,2",х,основний,200,х,23,"29,9"
Трикотаж,Зейджан ,2-нитка з еластаном ,250,95% бавовна/5% еластан,"2,2","11,50",,"235,2","12,4","253,6",х,основний,185,х,23,"50,6"
Трикотаж,Зейджан ,2-нитка з еластаном з начісом ,250,95% бавовна/5% еластан,"2,5","12,00",,"216,0",13,"234,0",х,основний,185,х,23,"57,5"
Трикотаж,Зейджан ,Лакоста (поло) 30/1 (рукав),200,100% бавовна,2,"10,60",,"238,5","11,4","256,5",х,основний,125 (250 рукав),х,23,46
Трикотаж,Зейджан ,Комірці та манжети для поло,,100% бавовна,35,"12,40",,"15,9","13,5","17,4",х,основний,42-44,х,23,
Трикотаж,Зейджан ,Кашкорс для 3-х нитки ,420,95% бавовна/5% еластан,2,"10,60",,"238,5","11,3","254,3",х,основний,55-60,х,23,46
Трикотаж,Зейджан ,Кашкорс для 2-х нитки,240-250,95% бавовна/5% еластан,3,"10,60",,"159,0","11,3","169,5",х,основний,50-55,х,23,69
Трикотаж,Зейджан ,Рібана 40/1 (рулон),на футболку,,,,,#DIV/0!,,#DIV/0!,х,основний,,х,23,0
Трикотаж,Зейджан ,Фліс Polar,280,100% поліестер,2,"9,40",,"211,5",10,"225,0",х,основний,180,х,23,46
Трикотаж,Зейджан ,Kappa micro,160,100% поліестер,"3,8","11,20",,"132,6",12,"142,1",х,основний,160,х,23,"87,4"
Трикотаж,Зейджан ,Kappa micro неон,160,100% поліестер,"3,8","12,30",,"145,7","13,4","158,7",х,основний,160,х,23,"87,4"
Трикотаж,Трейд Лайн,Бавовна з еластаном 28/1 супрем,205,95% бавовна/5% еластан,"2,7","9,30","11,00","183,3",-,-,,запасний,180,х,23,"62,1"
Трикотаж,Трейд Лайн,Бавовна з еластаном 36/1 супрем,165,95% бавовна/5% еластан,"3,3","9,10","10,80","147,3",-,-,,запасний,183,х,23,"75,9"
Трикотаж,Трейд Лайн,2-нитка петля з еластаном 30/30,240,95% бавовна/5% еластан,"2,25","8,90","10,60","212,0",-,-,,запасний,185,х,23,"51,75"
Трикотаж,Трейд Лайн,"Футер, 3-нитка з начісом ",280,65% бавовна 35% поліестер,"1,96","7,90","9,60","220,4",-,-,,запасний,185,х,23,"45,08"
Трикотаж,Трейд Лайн,"Футер, 3-нитка з начісом ",320,65% бавовна 35% поліестер,"1,69","7,90","9,60","255,6",-,-,,запасний,185,х,23,"38,87"
Трикотаж,Трейд Лайн,"Футер, 3-нитка петля",320,65% бавовна 35% поліестер,"1,7","7,90","9,60","254,1",-,-,,запасний,185,х,23,"39,1"
Трикотаж,Трейд Лайн,Лакоста ЕЛАСТАН (поло) 30/1 рулон,170,95% бавовна/5% еластан,"3,5","8,40","10,10","129,9",-,-,,запасний,165,х,23,"80,5"
Трикотаж,Трейд Лайн,Лакоста (поло) 30/1 рукав,200,100% бавовна,2,"8,65","10,35","232,9",-,-,,запасний,165,х,23,46
Трикотаж,Трейд Лайн,Комірці та манжети,,100% бавовна,30,"8,95","10,65","16,0",-,-,,запасний,,х,23,690
Трикотаж,Трейд Лайн,Бавовна Кулір 30/1 супрем,155,100% бавовна,"3,5","7,50","9,20","118,3",-,-,,запасний,180,х,23,"80,5"
Трикотаж,Трейд Лайн,Бавовна Кулір 18/1 супрем,200,100% бавовна,"2,7","7,70","9,40","156,7",-,-,,запасний,180,х,23,"62,1"
Трикотаж,Трейд Лайн,Бавовна Кулір 24/1 супрем,175-180,100% бавовна,3,"7,50","9,20","138,0",-,-,,запасний,187,х,23,69
Трикотаж,Трейд Лайн,Бавовна Кулір 30-2 супрем,240-260,100% бавовна,2,"7,50","9,20","207,0",-,-,,запасний,187,х,23,46
Трикотаж,Трейд Лайн,Фліс Polar,280,100% поліестер,2,"7,30","9,00","202,5",-,-,,запасний,180,х,23,46
,Трейд Лайн,Белінда софт ,150,71% пе 24% віскоза 5%еластан,,"4,15","4,56","205,1",,,,запасний,150,,12,50
саржеві ,Спецтекстиль,Саржа супер,240,35% бавовна 65% поліестер,,,,,,"96,6","144,9",основний,150,х,,50
саржеві ,,Саржа стандарт,240,20% бавовна 80% поліестер,,,,,,"87,6","131,43",,150,,,50
саржеві ,,Саржа економ,200,20% бавовна 80% поліестер,,,,,,,0,,150,,,50
саржеві ,,Саржа 100% бав.,240,100% бавовна,,,,,,,0,,150,,,50
саржеві ,Спецтекстиль,Саржа хеві ,275,65% бавовна 35% поліестер,,,,,,,0,,150,,,50
саржеві ,Спецтекстиль,ЕЛІТ ,160,35% бавовна 65% поліестер,,,,,,,0,,150,,,70
саржеві ,Спецтекстиль,ЕЛІТ  спандекс ,165,57% бавовна 40% поліестер 3% еластан,,,,,,,0,,150,,,70
саржеві ,Спецтекстиль,ЕЛІТ спандекс  віскоза ,165,62% пе 35%віскоза 3%еластан,,,,,,,0,,150,,,70
саржеві ,Спецтекстиль,Габардин,,100% поліестер,,,,,,"39,0","58,5",,,,,
плащовка ,Спецтекстиль,Оксфорд ,85,100% поліестер,,,,,,,0,,150,,,
плащовка ,Спецтекстиль,Оксфорд ,135,100% поліестер,,,,,,,,,150,,,
плащовка ,Спецтекстиль,Оксфорд ,220,100% поліестер,,,,,,,,,150,,,
плащовка ,Спецтекстиль,Дюспо ,90,100% поліестер,,,,,,,,,150,,,
плащовка ,Спецтекстиль,Софтшел ,320,95% пе 5 еластан,,,,,,,,,150,,,50
,,Підкладка Т 190,52,100% поліестер,,,,,,,,,150,,,100
,,Підкладка сітка,95,100% поліестер,,,,,,,,,150,,,
