Категорія ,Назва виробу,Вартість роботи грн/шт,ЗП/день,К-сть виробів/день 1 шв.,К-сть виробів/год 1 шв.,К-ть швей,Виробничі потужності за 1д (3швеї),"Оптимальний тираж , шт.","вартість крою 
оптимального тиражу","Вартість крою одного виробу фактичного тиражу         -                                                         вартість крою одного виробу при оптимальному тиражі
250","Вартість крою одного виробу фактичного тиражу        -                                                          тираж
10","Вартість крою одного виробу фактичного тиражу         -                                                        тираж
20","Вартість крою одного виробу фактичного тиражу         -                                                        тираж
30","Вартість крою одного виробу фактичного тиражу        -                                                         тираж
50","Вартість крою одного виробу фактичного тиражу                                                                 - тираж
60","Вартість крою одного виробу фактичного тиражу         -                                                         тираж
 70","Вартість крою одного виробу фактичного тиражу        -                                                         тираж
100","Вартість крою одного виробу фактичного тиражу        -                                                         тираж 
200","Вартість крою одного виробу фактичного тиражу         -                                                        тираж 
250","час крою 5-8  розмірів людино годин (оплата праці двох закрійників, стосується лише трикотажу)","фактичний час крою 5-8 розмірів  (вироб.потужності) настил здійснюється 2 закрійниками, стосується лише трикотажу)",Час крою коли працює 2 людини,тираж кратність ,Коефіцієнт прибутку,Коефіцієнт прибутку,Пакування виробу в пакет за шт (оплата праці)
футболка,Футболка класична чол,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка,Футболка класична жін (закрита горловина),30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка,Футболка оверсайз чол,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка,Футболка оверсайз жін,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка,Футболка комбінована жін.,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка,Футболка класична дит,25,1500,60,8,3,180,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
футболка,Футболка приталена дит,25,1500,60,8,3,180,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
футболка,Футболка комбінована дит,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/400,5-7,6,4
футболка, Лонгслів (футболка довгий рукав) чол ,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/50/100/200/400,5-7,6,4
футболка, Лонгслів (футболка довгий рукав) жін,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/50/100/200/400,5-7,6,4
футболка, Лонгслів (футболка довгий рукав) дит ,30,1500,50,6,3,150,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
футболка,Майка приталена дит,20,1500,75,9,3,225,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
поло ,Поло  короткий рукав чол ,52,1500,29,4,3,87,250,1600,6,160,80,53,32,27,23,16,8,"6,4",8,"5,3","2,7",30/60/100/200/500,4-5,5,4
поло ,Поло  короткий рукав жін,52,1500,29,4,3,87,250,1600,6,160,80,53,32,27,23,16,8,"6,4",8,"5,3","2,7",30/60/100/200/500,4-5,5,4
поло ,Поло  довгий рукав чол,57,1500,26,3,3,79,250,1600,6,160,80,53,32,27,23,16,8,"6,4",8,"5,3","2,7",30/60/100/200/400,4-5,5,4
поло ,Поло  довгий рукав жін,57,1500,26,3,3,79,250,1600,6,160,80,53,32,27,23,16,8,"6,4",8,"5,3","2,7",30/60/100/200/400,4-5,5,4
світшоти ,Світшот класичний  чол,50,1500,30,4,3,90,125,900,7,90,45,30,18,15,13,9,"4,5",,"4,5","3,0","1,5",20/50/100/200,4-6,5,4
світшоти ,Світшот класичний жін,50,1500,30,4,3,90,125,900,7,90,45,30,18,15,13,9,"4,5",,"4,5","3,0","1,5",20/50/100/200,4-6,5,4
світшоти ,Світшот оверсайз чол,50,1500,30,4,3,90,125,900,7,90,45,30,18,15,13,9,"4,5",,"4,5","3,0","1,5",20/50/100/200,4-6,5,4
світшоти ,Світшот оверсайз жін,50,1500,30,4,3,90,125,900,7,90,45,30,18,15,13,9,"4,5",,"4,5","3,0","1,5",20/50/100/200,4-6,5,4
світшоти ,Світшот дитячий ,45,1500,33,4,3,100,125,900,7,90,45,30,18,15,13,9,"4,5",,"4,5","3,0","1,5",20/50/100/200,4-6,5,4
худі ,Худі класичне  унісекс ,60,1500,25,3,3,75,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі класичне на застібку блискавка унісекс ,80,1500,19,2,3,56,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз чол,60,1500,25,3,3,75,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз жін,60,1500,25,3,3,75,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз на застібку блискавка чол,80,1500,19,2,3,56,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз на застібку блискавка  жін,80,1500,19,2,3,56,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз врізна кишеня (зміщений шов)чол,60,1500,25,3,3,75,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі оверсайз врізна кишеня (зміщений шов) жін,60,1500,25,3,3,75,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі  дит.,75,1500,20,3,3,60,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
худі ,Худі на застібку блискавка дит,80,1500,19,2,3,56,125,2000,16,200,100,67,40,33,29,20,10,,10,"6,7","3,3",20/50/100/200,4-6,5,4
лосіни,Лосіни трикотажні жін.,25,1500,60,8,3,180,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
лосіни,Лосіни трикотажні дит,25,1500,60,8,3,180,250,1200,5,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",30/60/100/200/500,5-7,6,4
шорти,Шорти трикотажні жін,20,1500,75,9,3,225,250,600,2,60,30,20,12,10,9,6,3,"2,4",3,"2,0","1,0",30/60/100/200/500,5-7,6,4
шорти,Шорти трикотажні  дит,20,1500,75,9,3,225,250,600,2,60,30,20,12,10,9,6,3,"2,4",3,"2,0","1,0",30/60/100/200/500,5-7,6,4
шорти,Шорти трикотажні  чол,90,1500,17,2,3,50,250,1600,6,160,80,53,32,27,23,16,8,"6,4",8,"2,0","6,0",30/60/100/200/500,5-7,6,4
Флісова кофта,Фліска примий крій на загин унісекс,85,1500,18,2,3,53,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/200,4-6,5,4
Флісова кофта,Фліска приталена з рельєфами чол,100,1500,15,2,3,45,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/200,4-6,5,4
Флісова кофта,Фліска приталена з рельєфами жін,100,1500,15,2,3,45,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/200,4-6,5,4
Флісова кофта,Фліска дитяча приталена з рельєфами дит,100,1500,15,2,3,45,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/300,4-6,5,4
кофта ,Кофта  комір стійка  унісекс,80,1500,19,2,3,56,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/200,4-6,5,4
кофта ,Кофта реглан дит,45,1500,33,4,3,100,125,2000,16,200,100,67,40,33,29,20,10,8,10,"6,7","3,3",20/50/100/200,4-6,5,4
штани,Штани спортивні (трикотажні)  чол.,70,1500,21,3,3,64,125,1200,10,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",20/50/100/200,4-6,5,4
штани,Штани спортивні (трикотажні)  жін. ,70,1500,21,3,3,64,125,1200,10,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",20/50/100/200,4-6,5,4
штани,Штани спортивні дит.,70,1500,21,3,3,64,125,1200,10,120,60,40,24,20,17,12,6,"4,8",6,"4,0","2,0",20/50/100/200,4-6,5,4
фартухи,Фартух з нагрудником бариста ЛМШ - 85 см довж. * 70 см  шир. ,60,1500,25,3,3,75,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
фартухи,Фартух з нагрудником стандартний - 85 см довж. * 70 см  шир. ,35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,5-7,6,4
фартухи,Фартух з нагрудником стандартний ПЛЮС - 85 см довж. * 90 см  шир. ,35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,5-7,6,4
