Категорія,Назва,Тип,Розмір,Колір,Од. виміру,"Ціна, грн",К-сть в рулоні / упаковці,Постачальник 
Блискавка,Спіральна №4,нероз'ємна,18 см,чорна,шт,"2,60",100 шт,da-tex.com.ua
Блискавка,Спіральна №4,нероз'ємна,20 см,чорна,шт,"3,20",100 шт,da-tex.com.ua
Блискавка,Спіральна №5,роз'ємна,50 см,чорна,шт,"6,50",50 шт,da-tex.com.ua
Блискавка,Спіральна №5,роз'ємна,75 см,чорна,шт,"8,00",50 шт,https://da-tex.com.ua/uk/75-sm-blyskavka-spiralna-neilon-typ-5-kolir-chornyi-gcc-322/
Блискавка,Спіральна №5,роз'ємна,80 см,чорна,шт,"9,00",50 шт,da-tex.com.ua
Блискавка,Тракторна №5,роз'ємна,50 см,чорна,шт,"10,00",50 шт,da-tex.com.ua
Блискавка,Тракторна №5,роз'ємна,75 см,чорна,шт,"12,00",50 шт,da-tex.com.ua
Блискавка,Тракторна №5,роз'ємна,80 см,чорна,шт,"13,00",50 шт,da-tex.com.ua
Блискавка,Рулонна №5,метраж,-,чорна,м,"5,00",200 м,da-tex.com.ua
Блискавка,Рулонна №7,метраж,-,чорна,м,"5,00",200 м,da-tex.com.ua
Бігунок,№5,стандарт,-,чорний,шт,"2,50",100 шт,da-tex.com.ua
Бігунок,№5,стандарт,-,чорний,шт,"2,50",100 шт,da-tex.com.ua
Кнопки,Альфа,-,"12,5  мм",нікель,шт,2.50,720 шт,da-tex.com.ua
Кнопки,Трикотажна ,-,"9,5 мм",нікель,шт,"1,00",500 шт,da-tex.com.ua
Гумка,В’язана,-,"0,8 см",біла/чорна,м,"1,20",100 м,da-tex.com.ua
Гумка,В’язана,-,2 см,біла/чорна,м,"3,00",25 м,da-tex.com.ua
Гумка,В’язана,-,3 см,біла/чорна,м,"4,00",25 м,da-tex.com.ua
Гумка,В’язана,-,4 см,біла/чорна,м,"6,00",25 м,da-tex.com.ua
Гумка,В’язана,-,5 см,біла/чорна,м,"7,00",25 м,da-tex.com.ua
Липучка,Velcro,-,2 см,чорна,м,"8,00",25 м,da-tex.com.ua
Липучка,Velcro,-,3 см,чорна,м,"9,00",25 м,da-tex.com.ua
Липучка,Velcro,-,4 см,чорна,м,"11,00",25 м,da-tex.com.ua
Липучка,Velcro,-,5 см,чорна,м,"20,00",25 м,da-tex.com.ua
Фастекс,Пластиковий,-,25 мм,чорний,шт,"4,00",200 шт,
Фастекс,Пластиковий,-,32 мм,чорний,шт,"5,00",50 шт,
Рамка ,Пластик,,32 мм ,чорний,шт,"1,00",200 шт,
Шнур,Бавовняний,круглий,5 мм,чорний,м,"3,50",100 м,
Шнур,Поліефір,круглий з наповн.,5 мм,чорний,м,"2,50",100 м,
Шнур еластичний,,круглий,3 мм ,чорний,м,"3,20",100 м.,
Наконечник,Для шнурка,пластик,-,срібло,шт,"1,00",500 шт,
Стопер,Фіксатор,пластик,-,чорний,шт,"1,50",500 шт,
Стрічка,Репсова,-,2.5 см,чорна,м,"6,00",50 м,
Стрічка,Репсова,-,3 см,чорна,м,"7,00",50 м,
Стрічка,Репсова,-,4 см,чорна,м,"8,00",50 м,
Метал,Півкільце,-,25 мм,нікель ,шт,"0,75",500 шт,
Метал,Півкільце,-,30 мм,нікель ,шт,"1,50",500 шт,
Метал,Карабін,-,30 мм,нікель ,шт,"8,00",50 шт,
Нитки,Швейні,40/2,4000 yd/3650 мп,чорні,боб,35.00,10 боб,
Пакування,Пакет БОПП єврошов,зі скотч-клапаном,"25×35 см, 20 мкр",прозорий,шт,1.20,200 шт,
Пакування,Пакет БОПП єврошов,зі скотч-клапаном,"35×45 см, 20 мкр",прозорий,шт,2.00,200 шт,
